year,country,People living with HIV (15-49): Male +Female,People living with HIV (15-49): Male,People living with HIV (15-49): Female,Population Aged 15-49:  Male+Female,Population Aged 15-49: Male,Population Aged 15-49: Female,Adult prevalence (15-49): Adults,Adult prevalence (15-49): Male,Adult prevalence (15-49): Female,Total number receiving ART (15-49) 
1985,Angola,3337,1522,1816,4050228,1992053,2058175,0.0824,0.0764,0.0882,0
1986,Angola,5028,2243,2785,4163282,2047817,2115465,0.1208,0.1095,0.1316,0
1987,Angola,7633,3342,4291,4273162,2102019,2171143,0.1786,0.159,0.1976,0
1988,Angola,11569,4992,6577,4385792,2157615,2228176,0.2638,0.2314,0.2952,0
1989,Angola,17350,7396,9954,4508556,2218273,2290284,0.3848,0.3334,0.4346,0
1990,Angola,25440,10748,14693,4641955,2284229,2357726,0.5481,0.4705,0.6232,0
1991,Angola,35981,15093,20888,4786064,2355524,2430540,0.7518,0.6407,0.8594,0
1992,Angola,48509,20224,28285,4941120,2432277,2508842,0.9817,0.8315,1.13,0
1993,Angola,61901,25688,36214,5102605,2512207,2590399,1.21,1.02,1.4,0
1994,Angola,74751,30892,43859,5265964,2592992,2672973,1.42,1.19,1.64,0
1995,Angola,85992,35391,50601,5431349,2674700,2756648,1.58,1.32,1.84,0
1996,Angola,95233,39023,56209,5599326,2757613,2841713,1.7,1.42,1.98,0
1997,Angola,102578,41840,60738,5769298,2841464,2927834,1.78,1.47,2.07,0
1998,Angola,108498,44046,64452,5944961,2928186,3016775,1.83,1.5,2.14,0
1999,Angola,113535,45877,67658,6129957,3019697,3110260,1.85,1.52,2.18,0
2000,Angola,118089,47507,70582,6323787,3115808,3207979,1.87,1.52,2.2,0
2001,Angola,122503,49086,73417,6527634,3217127,3310507,1.88,1.53,2.22,0
2002,Angola,127007,50716,76291,6741970,3323879,3418090,1.88,1.53,2.23,0
2003,Angola,131700,52442,79258,6964428,3434815,3529613,1.89,1.53,2.25,0
2004,Angola,136612,54280,82331,7192531,3548606,3643925,1.9,1.53,2.26,364
2005,Angola,141788,56253,85535,7426526,3665316,3761210,1.91,1.53,2.27,892
2006,Angola,147275,58379,88896,7667432,3785392,3882040,1.92,1.54,2.29,5289
2007,Angola,153203,60714,92488,7915378,3908913,4006465,1.94,1.55,2.31,7829
2008,Angola,159779,63310,96470,8169908,4035584,4134324,1.96,1.57,2.33,12973
2009,Angola,166635,66013,100623,8429572,4164719,4264854,1.98,1.59,2.36,19092
,,,,,,,,,,,
,,,,,,,,,,,
1985,Benin,561,249,312,1801347,874881,926466,0.0311,0.0284,0.0337,0
1986,Benin,887,387,500,1860420,906023,954397,0.0477,0.0427,0.0524,0
1987,Benin,1398,601,797,1921853,938367,983486,0.0728,0.0641,0.0811,0
1988,Benin,2189,932,1258,1987860,973349,1014511,0.1101,0.0957,0.124,0
1989,Benin,3393,1433,1961,2059904,1012025,1047879,0.1647,0.1416,0.1871,0
1990,Benin,5186,2180,3006,2137900,1054357,1083544,0.2426,0.2068,0.2775,0
1991,Benin,7787,3265,4521,2221788,1100291,1121497,0.3505,0.2968,0.4031,0
1992,Benin,11428,4788,6639,2311736,1149907,1161829,0.4943,0.4164,0.5715,0
1993,Benin,16224,6804,9421,2403846,1200594,1203253,0.6749,0.5667,0.7829,0
1994,Benin,21958,9217,12741,2494280,1249782,1244499,0.8803,0.7375,1.02,0
1995,Benin,27992,11752,16239,2583817,1297890,1285927,1.08,0.9055,1.26,0
1996,Benin,33454,14032,19421,2672941,1345203,1327739,1.25,1.04,1.46,0
1997,Benin,37719,15784,21936,2761463,1391586,1369877,1.37,1.13,1.6,0
