"","1","2","3","4"
"DRC 2007",0,0,0,8
"Ethiopia 2011",3,0,0,123
"Kenya 2008-9",4,6,5,48
"Lesotho 2009",22,14,10,85
"Liberia 2007",0,0,0,11
"Malawi 2010",30,32,18,670
"Mali 2006",0,0,0,9
"Niger 2006",0,0,0,3
"Sierra Leone 2008",1,0,0,9
"Swaziland 2006-7",70,24,20,142
"Zambia 2007",67,54,35,620
"Zimbabwe 2005-6",88,42,38,588
"Zimbabwe 2010-1",93,60,33,656
"DRC 2007",1,4,4,506
"Ethiopia 2011",15,7,10,1953
"Kenya 2008-9",8,6,15,457
"Lesotho 2009",45,33,21,201
"Liberia 2007",3,4,9,826
"Malawi 2010",10,12,7,135
"Mali 2006",4,2,3,457
"Niger 2006",0,2,0,343
"Sierra Leone 2008",1,0,7,352
"Swaziland 2006-7",9,1,3,21
"Zambia 2007",4,5,5,131
"Zimbabwe 2005-6",13,9,1,81
"Zimbabwe 2010-1",4,5,4,77
